 Time in recording [s],#192_F_Querlnk_hl_mR [kN]
1.796,3.62187
1.798,3.61567
1.8,3.60947
1.802,3.60482
1.804,3.6025
1.806,3.6025
1.808,3.60715
1.81,3.61335
1.812,3.62187
1.814,3.62962
1.816,3.63504
1.818,3.63737
1.82,3.63504
1.822,3.62962
1.824,3.6211
1.826,3.6118
1.828,3.60327
1.83,3.59785
1.832,3.59707
1.834,3.60172
1.836,3.61102
1.838,3.62342
1.84,3.63737
1.842,3.64899
1.844,3.65674
1.846,3.65907
1.848,3.65597
1.85,3.64744
1.852,3.63427
1.854,3.61955
1.856,3.60482
1.858,3.59242
1.86,3.5839
1.862,3.5808
1.864,3.5808
1.866,3.58468
1.868,3.59087
1.87,3.59707
1.872,3.6025
1.874,3.60637
1.876,3.60792
1.878,3.60792
1.88,3.60637
1.882,3.60482
1.884,3.60405
1.886,3.60405
1.888,3.6056
1.89,3.6087
1.892,3.61412
1.894,3.62187
1.896,3.63272
1.898,3.64667
1.9,3.66526
1.902,3.68851
1.904,3.71718
1.906,3.75128
1.908,3.78925
1.91,3.83032
1.912,3.87139
1.914,3.90936
1.916,3.94268
1.918,3.96902
1.92,3.9853
1.922,3.99227
1.924,3.98995
1.926,3.97987
1.928,3.96592
1.93,3.94888
1.932,3.93338
1.934,3.92098
1.936,3.91401
1.938,3.91401
1.94,3.91943
1.942,3.93183
1.944,3.94733
1.946,3.9667
1.948,3.98685
1.95,4.00622
1.952,4.02327
1.954,4.03644
1.956,4.04419
1.958,4.04496
1.96,4.03799
1.962,4.02172
1.964,3.99847
1.966,3.96747
1.968,3.93183
1.97,3.89386
1.972,3.85821
1.974,3.82877
1.976,3.80785
1.978,3.8001
1.98,3.80475
1.982,3.82334
1.984,3.85124
1.986,3.88611
1.988,3.92176
1.99,3.95353
1.992,3.976
1.994,3.98607
1.996,3.9822
1.998,3.96438
2,3.93648
2.002,3.90161
2.004,3.86519
2.006,3.83264
2.008,3.8063
2.01,3.78925
2.012,3.78305
2.014,3.78615
2.016,3.79777
2.018,3.81559
2.02,3.83807
2.022,3.86364
2.024,3.89231
2.026,3.92486
2.028,3.9636
2.03,4.00777
2.032,4.06046
2.034,4.11935
2.036,4.1829
2.038,4.24799
2.04,4.31075
2.042,4.36732
2.044,4.41227
2.046,4.44404
2.048,4.46186
2.05,4.46573
2.052,4.45876
2.054,4.44559
2.056,4.42854
2.058,4.41149
2.06,4.39677
2.062,4.38437
2.064,4.3743
2.066,4.36345
2.068,4.34872
2.07,4.32858
2.072,4.30223
2.074,4.26891
2.076,4.23249
2.078,4.19529
2.08,4.16352
2.082,4.14105
2.084,4.13175
2.086,4.13795
2.088,4.15965
2.09,4.19374
2.092,4.23559
2.094,4.28053
2.096,4.32315
2.098,4.3588
2.1,4.38437
2.102,4.39909
2.104,4.40452
2.106,4.40529
2.108,4.40297
2.11,4.40374
2.112,4.40917
2.114,4.42234
2.116,4.44249
2.118,4.46883
2.12,4.49905
2.122,4.52928
2.124,4.55795
2.126,4.58352
2.128,4.60599
2.13,4.62459
2.132,4.64241
2.134,4.66023
2.136,4.68038
2.138,4.70285
2.14,4.72765
2.142,4.75322
2.144,4.77802
2.146,4.80049
2.148,4.81754
2.15,4.82916
2.152,4.83536
2.154,4.83768
2.156,4.83846
2.158,4.84156
2.16,4.84776
2.162,4.85938
2.164,4.87643
2.166,4.89813
2.168,4.92215
2.17,4.94539
2.172,4.96632
2.174,4.98182
2.176,4.99266
2.178,4.99886
2.18,5.00351
2.182,5.00894
2.184,5.01669
2.186,5.02986
2.188,5.04846
2.19,5.07093
2.192,5.0934
2.194,5.112
2.196,5.12285
2.198,5.12285
2.2,5.1089
2.202,5.08255
2.204,5.04768
2.206,5.00894
2.208,4.97174
2.21,4.94307
2.212,4.92757
2.214,4.92757
2.216,4.94152
2.218,4.96632
2.22,4.99576
2.222,5.02288
2.224,5.03916
2.226,5.04071
2.228,5.02443
2.23,4.99034
2.232,4.94385
2.234,4.89038
2.236,4.83923
2.238,4.79662
2.24,4.76872
2.242,4.75865
2.244,4.76562
2.246,4.78654
2.248,4.81521
2.25,4.84543
2.252,4.86946
2.254,4.88263
2.256,4.88418
2.258,4.8741
2.26,4.85706
2.262,4.83691
2.264,4.82141
2.266,4.81444
2.268,4.81986
2.27,4.83846
2.272,4.86791
2.274,4.90433
2.276,4.94307
2.278,4.97949
2.28,5.00971
2.282,5.03296
2.284,5.05001
2.286,5.06395
2.288,5.0779
2.29,5.09495
2.292,5.11665
2.294,5.14299
2.296,5.17012
2.298,5.19259
2.3,5.20344
2.302,5.19491
2.304,5.16314
2.306,5.1058
2.308,5.02521
2.31,4.92757
2.312,4.82219
2.314,4.72145
2.316,4.63544
2.318,4.57422
2.32,4.54245
2.322,4.53935
2.324,4.56027
2.326,4.59592
2.328,4.63466
2.33,4.66411
2.332,4.67496
2.334,4.66178
2.336,4.62459
2.338,4.5688
2.34,4.50525
2.342,4.44636
2.344,4.40607
2.346,4.39444
2.348,4.41847
2.35,4.47968
2.352,4.57189
2.354,4.68658
2.356,4.80824
2.358,4.9237
2.36,5.01824
2.362,5.08255
2.364,5.11277
2.366,5.10735
2.368,5.07325
2.37,5.01979
2.372,4.95779
2.374,4.89735
2.376,4.84776
2.378,4.81521
2.38,4.79971
2.382,4.80204
2.384,4.81599
2.386,4.83768
2.388,4.86093
2.39,4.8803
2.392,4.89503
2.394,4.902
2.396,4.90278
2.398,4.89735
2.4,4.88728
2.402,4.87178
2.404,4.85086
2.406,4.82296
2.408,4.78732
2.41,4.7416
2.412,4.68735
2.414,4.62614
2.416,4.56415
2.418,4.50603
2.42,4.46031
2.422,4.43241
2.424,4.42776
2.426,4.44869
2.428,4.49208
2.43,4.55407
2.432,4.62691
2.434,4.69975
2.436,4.76329
2.438,4.80979
2.44,4.83458
2.442,4.83691
2.444,4.82064
2.446,4.79197
2.448,4.76019
2.45,4.73617
2.452,4.72765
2.454,4.74005
2.456,4.77492
2.458,4.82916
2.46,4.89658
2.462,4.96787
2.464,5.03296
2.466,5.08255
2.468,5.10967
